Level,Trait,Taxonomy,a2_ACE,a2_ACE_lower_CI,a2_ACE_upper_CI,c2_ACE,c2_ACE_lower_CI,c2_ACE_upper_CI,e2_ACE,e2_ACE_lower_CI,e2_ACE_upper_CI,CE_to_ACE_p,FDR_all,FDR_collapsed,falconer_h2,mz_icc,dz_icc,Longitudinal_icc,Longitudinal_spearman
OTU,232828,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.077915995,1.98E-35,0.217569816,0.068884439,1.64E-39,0.185952791,0.853199566,0.782429749,0.922270866,0.516826385,0.887617693,NA,0.109536105,0.154285276,0.099517223,0.380208008,0.389294735
OTU,193075,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.077865533,NA,0.212971013,0.06196768,NA,0.17749356,0.860166786,0.78702891,0.93078134,0.510616398,0.887617693,NA,0.087394288,0.142950418,0.099253274,0.254266064,0.254009905
OTU,125624,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.077849564,3.01E-43,0.161535251,0.011780462,NA,0.127033451,0.910369974,0.838469606,0.98240113,0.513727068,0.887617693,NA,0.076317068,0.08956273,0.051404196,0.424798943,0.412445499
OTU,1135084,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.077735853,0.009007956,0.145729979,2.74E-12,NA,0.106571106,0.922264147,0.854270025,0.990992044,0.026675834,0.249590724,NA,0.162070632,0.091390986,0.01035567,0.38892844,0.304613012
Phylum,k__Bacteria.p__Bacteroidetes,NA,0.07755378,NA,0.247709129,0.099458526,1.99E-29,0.214051675,0.822987694,0.751181372,0.892718073,0.50586944,0.884610664,0.723326361,0.091293982,0.181177797,0.135530806,0.248953081,0.23419404
Class,k__Bacteria.p__Bacteroidetes.c__Bacteroidia,NA,0.077550931,NA,0.24770875,0.09946119,1.78E-29,0.214052283,0.822987879,0.751181412,0.892725832,0.505884694,0.884610664,0.723326361,0.091290684,0.181177483,0.135532142,0.248955366,0.234186383
Order,k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales,NA,0.077550931,NA,0.24770875,0.09946119,1.78E-29,0.214052283,0.822987879,0.751181412,0.892725832,0.505884694,0.884610664,0.723326361,0.091290684,0.181177483,0.135532142,0.248955366,0.234186383
OTU,656881,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__,0.077457056,3.86E-31,0.200752178,0.050342889,2.63E-34,0.165908637,0.872200055,0.807793798,0.942799885,0.514990771,0.887617693,NA,0.087083422,0.13108543,0.087543719,0.245605451,0.228665269
OTU,188044,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.077109446,0.006454083,0.147000848,5.33E-12,NA,0.10253182,0.922890554,0.852999152,0.993545917,0.269886029,0.664172649,NA,0.158317828,0.089088906,0.009929993,0.310120013,0.268213573
OTU,348642,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus,0.076867452,1.17E-28,0.147859176,2.74E-10,NA,0.107442918,0.923132548,0.852140824,0.994959779,0.359029178,0.749498022,NA,0.113194391,0.081983558,0.025386363,0.525385172,0.510849928
OTU,New.0.CleanUp.ReferenceOTU17118,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.076049657,2.08E-43,0.176911772,0.030981782,NA,0.147878083,0.892968561,0.823088457,0.96187649,0.534938021,0.9022195,NA,0.101401404,0.114062731,0.063362029,0.373970551,0.382119632
OTU,181560,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.07584411,7.34E-40,0.146896418,5.50E-12,NA,0.095550939,0.92415589,0.853101405,0.995955437,0.224734578,0.621945316,NA,0.181284419,0.090828991,0.000186782,0.557971423,0.549599047
Genus,k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae.g__Eggerthella,NA,0.075718294,8.49E-43,0.242947071,0.095631791,NA,0.208778474,0.828649915,0.767006134,0.891469605,0.516081257,0.887617693,0.731489086,0.084834686,0.174377798,0.131960455,0.550781197,0.532321394
OTU,New.0.ReferenceOTU157,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales,0.075273209,0.006405402,0.143466807,6.11E-14,NA,0.096454366,0.924726791,0.856533193,0.993594599,0.032200203,0.269284883,NA,0.211366473,0.095104686,-0.01057855,0.174021424,0.168405672
OTU,344525,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.075269734,6.44E-32,0.221293494,0.075321813,NA,0.190286785,0.849408453,0.778659067,0.918178604,0.529868767,0.900619209,NA,0.1063955,0.158322247,0.105124497,0.313153737,0.30134179
OTU,185583,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.074178587,2.51E-28,0.189455024,0.04016905,1.30E-30,0.151985418,0.885652363,0.810541459,0.957452565,0.529888127,0.900619209,NA,0.066737109,0.112774682,0.079406127,0.421321892,0.412574949
OTU,New.0.CleanUp.ReferenceOTU24487,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.073658183,0.005776783,0.140905811,1.72E-10,NA,0.094144398,0.926341816,0.859094178,0.994223219,0.197431536,0.57584198,NA,0.233477157,0.096440008,-0.02029857,0.386547404,0.388777824
OTU,176306,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.073366558,4.66E-34,0.189991735,0.041753665,2.48E-32,0.153209752,0.884879777,0.810003167,0.956239777,0.534625881,0.9022195,NA,0.067688172,0.11446353,0.080619444,0.319248107,0.320281815
OTU,175145,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.073282637,0.003730793,0.142118895,6.36E-12,NA,0.104718177,0.926717363,0.857881105,0.996269207,0.332082849,0.728116687,NA,0.14019055,0.084077828,0.013982553,0.224255319,0.24788926
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae.g__,NA,0.07310779,1.24E-41,0.230614452,0.08555322,NA,0.197542002,0.84133899,0.769105725,0.910852836,0.534424134,0.9022195,0.75095805,0.087649602,0.163029612,0.119204811,0.29145497,0.266197996
OTU,196957,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.073017376,4.87E-35,0.196136671,0.047782472,2.41E-33,0.158784,0.879200152,0.803865381,0.950656973,0.535603322,0.9022195,NA,0.065705739,0.119690912,0.086838043,0.405745904,0.386375832
OTU,New.0.CleanUp.ReferenceOTU28707,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.07299652,0.003515299,0.141815983,1.87E-14,NA,0.094497956,0.92700348,0.858184017,0.996484701,0.219353718,0.615101672,NA,0.204733864,0.092242717,-0.010124215,0.226807772,0.230834638
Class,k__Bacteria.p__Cyanobacteria.c__Chloroplast,NA,0.072692217,0.00408939,0.140573219,9.72E-12,NA,0.112096189,0.927307783,0.859426781,0.99591064,0.037845296,0.298886751,0.133595741,0.102908829,0.078829529,0.027375114,0.07351051,0.057401992
OTU,1751298,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.072660115,NA,0.143922404,2.23E-15,NA,0.082279813,0.927339885,0.856077693,0.999180237,0.160648157,0.521692469,NA,0.250313147,0.097913466,-0.027243108,0.312012652,0.315413268
OTU,178713,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.072636073,NA,0.142847635,4.68E-09,NA,0.110345786,0.927363923,0.857152362,0.998352224,0.044937594,0.317035035,NA,0.083339842,0.074970669,0.033300748,0.297037615,0.185201557
OTU,182911,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__,0.072421004,0.001197836,0.142867846,2.34E-14,NA,0.108412598,0.927578996,0.857132154,0.998802164,0.449040494,0.834069755,NA,0.091830226,0.075809618,0.029894505,0.22808168,0.217313925
OTU,368236,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.072307935,0.003137639,0.140840469,4.39E-13,NA,0.092157168,0.927692065,0.859159531,0.996862193,0.204132994,0.589925625,NA,0.221072037,0.093644486,-0.016891532,0.123877967,0.128788532
OTU,4433823,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.07229824,0.003707138,0.140261005,2.60E-13,NA,0.092939372,0.92770176,0.859738995,0.996292868,0.038854438,0.298886751,NA,0.224221104,0.094084955,-0.018025597,0.425750424,0.377709802
OTU,2307779,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.071822104,0.002408629,0.140697069,2.25E-12,NA,0.071475088,0.928177896,0.859302931,0.997591371,0.111623545,0.458627174,NA,0.347555048,0.10940484,-0.064372684,0.445743866,0.423225363
OTU,148279,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.07177816,3.13E-32,0.222357307,0.075370539,3.83E-31,0.185087057,0.852851301,0.777636055,0.923856879,0.538995977,0.906318858,NA,0.063767004,0.145523421,0.113639918,0.443656166,0.427425623
OTU,4449054,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.07159144,3.12E-27,0.184405061,0.037517529,NA,0.147430468,0.890891031,0.815595106,0.962612078,0.544334396,0.913669634,NA,0.062304206,0.107484969,0.076332866,0.526496987,0.532409977
OTU,New.0.CleanUp.ReferenceOTU21842,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__,0.071308888,0.003179329,0.138852678,8.96E-14,NA,0.087485926,0.928691112,0.861147322,0.996820671,0.173102066,0.532786095,NA,0.262026906,0.097829457,-0.033183996,0.342333752,0.358539009
OTU,175642,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.071037448,2.60E-27,0.153339554,0.011385224,NA,0.122876701,0.917577328,0.846663107,0.987875147,0.555204346,0.924967525,NA,0.077886032,0.082813889,0.043870872,0.420338654,0.406633325
OTU,2617854,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,0.071035883,2.90E-35,0.19119204,0.045274045,NA,0.155220115,0.883690072,0.80880746,0.954668053,0.547944025,0.918097701,NA,0.067129346,0.115668315,0.082103642,0.427908259,0.431443881
OTU,190772,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__,0.070659725,4.47E-38,0.139932248,2.75E-10,NA,0.110096018,0.929340275,0.860067685,0.999348438,0.507592486,0.885009039,NA,0.085659198,0.074397501,0.031567901,0.222097467,0.21682869
OTU,3472078,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.070579373,7.67E-31,0.162599271,0.020462138,NA,0.131678233,0.908958489,0.837400369,0.97903305,0.556938118,0.924967525,NA,0.077149397,0.093607057,0.055032359,0.336553763,0.33213266
OTU,330469,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.070577416,0.001367943,0.139171441,1.20E-11,NA,0.089997815,0.929422584,0.860828559,0.998632059,0.202294362,0.586405436,NA,0.226690713,0.092936605,-0.020408751,0.218292514,0.213375546
OTU,4396688,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__,0.070398959,4.06E-31,0.159339075,0.016994278,NA,0.127576925,0.912606763,0.840660582,0.983191025,0.556607302,0.924967525,NA,0.073447205,0.088023133,0.051299531,0.470334551,0.444129781
OTU,230232,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__,0.070374282,NA,0.154738906,0.01060569,NA,0.119280645,0.919020029,0.845259542,0.991242834,0.552822917,0.92463302,NA,0.058510053,0.078239757,0.04898473,0.296443954,0.276353584
OTU,New.0.CleanUp.ReferenceOTU22699,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.069918546,1.07E-30,0.139954564,1.15E-11,NA,0.095274178,0.930081454,0.860045436,1,0.267602112,0.663737522,NA,0.170119048,0.08461693,-0.000442594,0.215551425,0.197740435
OTU,178478,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,0.069414614,7.82E-35,0.139914033,7.36E-10,NA,0.084151204,0.930585385,0.860085967,1,0.186240288,0.553449912,NA,0.235725512,0.093138123,-0.024724633,0.39826344,0.366592531
Order,k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta,NA,0.069389943,2.26E-13,0.13732928,2.27E-10,NA,0.11024233,0.930610057,0.86267072,0.990662413,0.047537135,0.317035035,0.133595741,0.095442895,0.074842931,0.027121484,0.073651172,0.057592217
Family,k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__,NA,0.069389943,2.26E-13,0.13732928,2.27E-10,NA,0.11024233,0.930610057,0.86267072,0.990662413,0.047537135,0.317035035,0.133595741,0.095442895,0.074842931,0.027121484,0.073651172,0.057592217
Genus,k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__.g__,NA,0.069389943,2.26E-13,0.13732928,2.27E-10,NA,0.11024233,0.930610057,0.86267072,0.990662413,0.047537135,0.317035035,0.133595741,0.095442895,0.074842931,0.027121484,0.073651172,0.057592217
OTU,195465,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.069369203,5.89E-36,0.19561725,0.053629333,1.06E-40,0.163871011,0.877001465,0.804381546,0.946297955,0.561845025,0.928222987,NA,0.083357885,0.127331231,0.085652288,0.252974122,0.249747418
OTU,208739,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii,0.069303431,1.83E-28,0.13953864,4.43E-14,NA,0.101689194,0.930696569,0.86046136,1,0.36419311,0.758067156,NA,0.123299017,0.076925225,0.015275716,0.396846871,0.409446879
OTU,3236435,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.069151165,6.68E-20,0.165738555,0.022499945,NA,0.130994358,0.90834889,0.834263886,0.979816612,0.56008851,0.92694158,NA,0.062271885,0.090039373,0.05890343,0.651897517,0.634908028
Genus,k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Oxalobacteraceae.g__Ralstonia,NA,0.069114326,2.08E-28,0.149485569,0.012223034,NA,0.124917423,0.91866264,0.850514247,0.985128356,0.579249159,0.934807874,0.786813441,0.092044173,0.087705802,0.041683715,0.031095016,0.040696303
OTU,181174,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.068790927,3.72E-36,0.178832955,0.038532169,NA,0.14913713,0.892676903,0.82116703,0.961465629,0.569811065,0.931311618,NA,0.08729079,0.111688057,0.068042662,0.434435648,0.432005367
Family,k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.Other,NA,0.068479455,5.19E-27,0.142685505,0.005213939,NA,0.116102953,0.926306606,0.858575151,0.994730792,0.574696419,0.931540508,0.786813441,0.079882159,0.077323594,0.037382515,0.262363133,0.221746486
Genus,k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.Other.Other,NA,0.068479455,5.19E-27,0.142685505,0.005213939,NA,0.116102953,0.926306606,0.858575151,0.994730792,0.574696419,0.931540508,0.786813441,0.079882159,0.077323594,0.037382515,0.262363133,0.221746486
OTU,3943186,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.068439847,6.03E-32,0.138588736,2.38E-10,NA,0.092891678,0.931560153,0.861411262,1,0.259353203,0.655317585,NA,0.177839948,0.084351731,-0.004568243,0.333155864,0.339073448
OTU,2996838,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.068313622,1.18E-27,0.136362686,5.13E-12,NA,0.103611762,0.931686378,0.863637314,1,0.377935343,0.774726462,NA,0.131977225,0.078943159,0.012954547,0.25656679,0.252647218
OTU,178148,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.068180143,0.001283022,0.134450624,2.87E-11,NA,0.107836463,0.931819857,0.865549376,0.998716978,0.431869505,0.822816783,NA,0.127971126,0.079021175,0.015035612,0.247965808,0.206110731
OTU,194733,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.067983235,7.03E-37,0.201704325,0.06184563,1.51E-43,0.171464262,0.870171135,0.798295486,0.938762531,0.571192201,0.931311618,NA,0.089936688,0.13558347,0.090615126,0.191618041,0.191186384
Phylum,k__Bacteria.p__Cyanobacteria,NA,0.067937435,1.49E-31,0.197409226,0.056105017,1.92E-37,0.164844682,0.875957548,0.802590595,0.945465242,0.567858525,0.931311618,0.786813441,0.076856753,0.127111351,0.088682974,0.311396675,0.30861789
OTU,174625,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.067794514,6.16E-36,0.135880441,3.77E-17,NA,NA,0.932205486,0.864119559,1,0.272603793,0.665950227,NA,0.183214071,0.084948135,-0.006658901,0.209914589,0.204334144
OTU,New.0.CleanUp.ReferenceOTU41645,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.067440703,0.000747398,0.133519351,1.06E-11,NA,0.107060719,0.932559297,0.866480649,0.999252603,0.425650541,0.820459401,NA,0.130988218,0.079154892,0.013660783,0.320726848,0.311487463
OTU,4301511,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.067359531,1.71E-28,0.173643259,0.032345538,1.35E-38,0.140165333,0.900294931,0.826353309,0.970796586,0.571598665,0.931311618,NA,0.067708008,0.098538121,0.064684117,0.511081471,0.496074941
OTU,107044,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,0.067193251,2.20E-26,0.13655754,1.11E-10,NA,0.097251104,0.932806749,0.86344246,1,0.314894063,0.715439612,NA,0.15192767,0.08013148,0.004167645,0.686311772,0.630414692
OTU,197864,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.066733793,7.57E-35,0.214128325,0.07296377,9.53E-39,0.179835777,0.860302437,0.785868056,0.930131266,0.570155389,0.931311618,NA,0.0666398,0.140554003,0.107234103,0.339009741,0.33850761
OTU,175336,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__,0.066505126,9.03E-32,0.204527161,0.064292973,NA,0.171674432,0.869201902,0.795472693,0.938635357,0.574476585,0.931540508,NA,0.073273411,0.133309032,0.096672327,0.77213868,0.646057621
OTU,129692,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__,0.066269539,3.48E-34,0.189654005,0.051531653,1.02E-33,0.160129159,0.882198808,0.810355465,0.950548961,0.582586382,0.935748615,NA,0.086018112,0.123408464,0.080399408,0.361824417,0.312228695
OTU,New.0.CleanUp.ReferenceOTU27535,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.065702703,NA,0.195494117,0.058470851,8.10E-31,0.166909226,0.875826446,0.804504719,0.9438347,0.587032301,0.936680594,NA,0.091366895,0.131141949,0.085458501,0.235820929,0.216929687
OTU,4306262,k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Verrucomicrobiaceae; g__Akkermansia; s__muciniphila,0.065044898,6.38E-44,0.136058663,5.05E-10,NA,0.103503888,0.934955101,0.863941307,1,0.499781307,0.881324082,NA,0.079521058,0.067280331,0.027519802,0.394096779,0.37684573
OTU,4476780,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,0.064692228,8.34E-27,0.134080076,7.20E-13,NA,0.090800537,0.935307772,0.865919924,1,0.269106722,0.664137342,NA,0.184225552,0.081830175,-0.010282601,0.544436937,0.529135773
OTU,772282,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.064500223,NA,0.133135208,2.34E-10,NA,0.054087505,0.935499777,0.866864796,NA,0.067765731,0.383464765,NA,0.18513849,0.081902892,-0.010666353,0.554270497,0.449813634
OTU,4425669,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus,0.064265224,5.67E-27,0.183042405,0.043174031,NA,0.148111041,0.892560745,0.81695679,0.963066288,0.586566183,0.936680594,NA,0.056239446,0.106134272,0.078014549,0.347811588,0.339931797
OTU,4448492,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae,0.06409734,3.74E-30,0.188676875,0.050148112,1.40E-24,0.155668825,0.885754548,0.81132213,0.955383849,0.588897765,0.936882808,NA,0.065054895,0.115346216,0.082818769,0.404633363,0.399505617
OTU,172777,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.063636296,3.55E-44,0.132766351,2.12E-12,NA,0.101253167,0.936363704,0.867233649,1,0.436341463,0.82732179,NA,0.108697539,0.07098021,0.016631441,0.483226362,0.483304971
OTU,New.0.ReferenceOTU254,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__,0.063595069,4.04E-26,0.143616582,0.012500491,NA,0.121703432,0.923904441,0.856383271,0.989736992,0.615101055,0.959655327,NA,0.089149747,0.083531333,0.03895646,0.3246237,0.340057217
OTU,15728,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania; s__,0.063514597,2.26E-31,0.130369742,1.38E-11,NA,0.105891826,0.936485403,0.869630213,1,0.506427904,0.884610664,NA,0.103290467,0.071874423,0.02022919,0.270701048,0.284678176
OTU,New.0.CleanUp.ReferenceOTU21655,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__,0.063310221,7.23E-35,0.144473769,0.012227845,NA,0.11995466,0.924461934,0.855526044,0.992234224,0.607694104,0.956449147,NA,0.080185427,0.080577375,0.040484662,0.367296121,0.355430768
OTU,182036,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.062885089,3.41E-29,0.191839345,0.054395825,1.33E-28,0.15899238,0.882719086,0.80816063,0.952167228,0.59561628,0.945978798,NA,0.063966684,0.118285572,0.08630223,0.303936989,0.303710009
OTU,299302,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.061970083,1.00E-28,0.185732122,0.049600014,1.49E-27,0.153805247,0.888429903,0.814273997,0.957621735,0.602164652,0.953175203,NA,0.065097042,0.113137024,0.080588504,0.34233105,0.324976338
OTU,192406,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.061656705,7.87E-34,0.131871027,1.43E-11,NA,0.082985026,0.938343295,0.868120707,1,0.23579095,0.636635565,NA,0.215405478,0.083571663,-0.024131076,0.401256422,0.403401034
OTU,3014082,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Blautia; s__,0.061608451,1.37E-33,0.271753432,0.149189546,1.61E-41,0.250922988,0.789202003,0.717872058,0.856885126,0.587779463,0.936680594,NA,0.066140029,0.212656479,0.179586465,0.344943635,0.343594431
OTU,179609,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Coprococcus; s__,0.061522234,6.62E-37,0.13059341,5.31E-13,NA,0.093335461,0.938477766,0.86940659,1,0.333246292,0.728976264,NA,0.153191971,0.075411575,-0.00118441,0.115287847,0.10929484
OTU,New.0.CleanUp.ReferenceOTU26820,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Lachnospira; s__,0.061400687,1.82E-37,0.231930467,0.101410241,NA,0.205520961,0.837189072,0.7667019,0.899139623,0.620732015,0.959655327,NA,0.085164947,0.168870101,0.126287628,0.270082616,0.233809238
OTU,4469007,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.061307719,3.25E-35,0.132845319,1.31E-13,NA,0.094729232,0.938692281,0.86715468,1,0.39000772,0.792596334,NA,0.115390158,0.068702062,0.011006983,0.293002556,0.312544662
OTU,192437,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.061265929,9.05E-32,0.192080497,0.059143232,1.36E-40,0.164181259,0.879590839,0.80791944,0.947236646,0.61203266,0.959155661,NA,0.08442283,0.126775467,0.084564052,0.389626587,0.383283228
OTU,1952,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__,0.06078015,1.30E-32,0.131263115,2.43E-12,NA,0.066364245,0.93921985,0.868736885,1,0.153561086,0.514593001,NA,0.33543705,0.098350298,-0.069368227,0.680861695,0.611143789
OTU,192735,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.060640724,3.36E-35,0.129320172,1.58E-09,NA,0.104083022,0.939359274,0.870679443,1,0.580669018,0.934807874,NA,0.075392606,0.064719958,0.027023655,0.274611396,0.260413953
OTU,182116,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.060546531,9.04E-41,0.198788556,0.063420041,3.48E-30,0.166138518,0.876033429,0.801211456,0.945143756,0.608281415,0.956449147,NA,0.060586462,0.124705053,0.094411822,0.279089032,0.268177705
OTU,4401580,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.06049098,4.69E-40,0.131397612,4.84E-12,NA,0.100172829,0.93950902,0.868602388,1,0.514525328,0.887617693,NA,0.078874664,0.063199223,0.023761891,0.475289095,0.443452871
OTU,211706,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__,0.060447045,6.09E-31,0.16693457,0.035411851,NA,0.14029299,0.904141103,0.833064499,0.97167491,0.619763211,0.959655327,NA,0.078944699,0.101286967,0.061814617,0.162331238,0.163906855
