Level,Trait,Taxonomy,a2_ACE,a2_ACE_lower_CI,a2_ACE_upper_CI,c2_ACE,c2_ACE_lower_CI,c2_ACE_upper_CI,e2_ACE,e2_ACE_lower_CI,e2_ACE_upper_CI,CE_to_ACE_p,FDR_all,FDR_collapsed,falconer_h2,mz_icc,dz_icc,Longitudinal_icc,Longitudinal_spearman
OTU,4347159,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__adolescentis,0.263936248,0.19564506,0.329612597,1.89E-15,NA,0.070802217,0.736063752,0.670387403,0.80435494,0.000139727,0.009431573,NA,0.507619254,0.295232753,0.041423126,0.532889884,0.529243621
Phylum,k__Bacteria.p__Actinobacteria,NA,0.261479756,0.073201577,0.325734151,4.42E-11,NA,0.155926356,0.738520244,0.674265845,0.805389435,0.00898772,0.132709303,0.043088187,0.31819609,0.272038606,0.112940561,0.435701093,0.430067975
OTU,4465124,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__,0.261252019,0.192407107,0.327446346,3.63E-14,NA,0.077156894,0.738747981,0.672553654,0.807592839,0.000273023,0.011831112,NA,0.463996102,0.286153949,0.054155898,0.614766868,0.601511804
OTU,2724175,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__gnavus,0.258788625,0.190701614,0.324211679,2.86E-13,NA,0.131494913,0.741211375,0.675788321,0.809298386,0.004554192,0.089660655,NA,0.329550387,0.267718101,0.102942907,0.45582248,0.441473485
OTU,2318497,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__,0.257307881,0.056375008,0.32320861,9.48E-11,NA,0.163016176,0.742692119,0.676791156,0.811328875,0.013840796,0.184219045,NA,0.26523598,0.254752795,0.122134805,0.325904404,0.322782223
OTU,313524,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.250962094,0.184129094,0.315376734,5.12E-14,NA,0.103464291,0.749037906,0.684623266,0.815870906,0.001660321,0.047545556,NA,0.424323227,0.276264016,0.064102403,0.397942857,0.383470632
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__Clostridium,NA,0.244645008,0.086653757,0.31215815,2.47E-13,NA,0.123668187,0.755354992,0.687846373,0.825523634,0.005780483,0.100623408,0.031407291,0.295957093,0.246804807,0.098826261,0.506855654,0.525004912
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.g__SMB53,NA,0.243248256,0.176209929,0.307927433,7.18E-14,NA,0.112274469,0.756751744,0.692072567,0.823790071,0.003167384,0.071216672,0.021511816,0.392587032,0.266503405,0.070209889,0.345828268,0.351616518
OTU,194597,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.239431574,0.169404429,0.306918177,1.61E-10,NA,0.099858258,0.760568426,0.693081823,0.830595571,0.002458266,0.058076534,NA,0.354979676,0.251797297,0.074307459,0.442703938,0.334596797
OTU,193129,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.237662152,0.16804674,0.304753252,3.06E-14,NA,0.123661915,0.762337848,0.695246748,0.83195326,0.006734237,0.106064233,NA,0.305977717,0.244562132,0.091573274,0.44159725,0.445295392
OTU,4449427,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__,0.236721784,0.045467656,0.301901584,1.12E-11,NA,0.159539174,0.763278216,0.698098278,0.83084044,0.018974165,0.224132324,NA,0.289249621,0.246658229,0.102033418,0.45037593,0.457527089
Class,k__Archaea.p__Euryarchaeota.c__Methanobacteria,NA,0.23655668,0.032644358,0.417855488,0.123594882,NA,0.291188719,0.639848437,0.575839654,0.708929931,0.022887739,0.225301181,0.095659012,0.218621396,0.356293867,0.246983169,0.703368529,0.634656625
Order,k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales,NA,0.23655668,0.032644358,0.417855488,0.123594882,NA,0.291188719,0.639848437,0.575839654,0.708929931,0.022887739,0.225301181,0.095659012,0.218621396,0.356293867,0.246983169,0.703368529,0.634656625
Family,k__Archaea.p__Euryarchaeota.c__Methanobacteria.o__Methanobacteriales.f__Methanobacteriaceae,NA,0.23655668,0.032644358,0.417855488,0.123594882,NA,0.291188719,0.639848437,0.575839654,0.708929931,0.022887739,0.225301181,0.095659012,0.218621396,0.356293867,0.246983169,0.703368529,0.634656625
OTU,819353,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.235708701,0.017421941,0.301129134,1.07E-13,NA,0.180922948,0.764291299,0.698870868,0.832129996,0.034665882,0.283202781,NA,0.2529786,0.240044085,0.113554785,0.570115441,0.555389378
OTU,177047,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.23566131,0.167524334,0.301348821,3.54E-11,NA,0.184529655,0.76433869,0.698650642,0.832475663,0.038680833,0.298886751,NA,0.241018769,0.23781812,0.117308735,0.624834882,0.607761334
OTU,571642,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.234797679,0.011886495,0.327353251,0.026091237,NA,0.212471478,0.739111084,0.672646241,0.810644486,0.03890272,0.298886751,NA,0.255494037,0.267464996,0.139717978,0.500500795,0.493428559
OTU,176062,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__,0.233565815,0.164416862,0.300290906,5.69E-12,NA,0.117076166,0.766434185,0.699709094,0.835582516,0.00573131,0.100623408,NA,0.329103445,0.245621832,0.081070109,0.691865069,0.61924785
OTU,3856408,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.231239097,0.026608531,0.297535869,9.56E-12,NA,0.167253655,0.768760903,0.702464135,0.837483643,0.028257408,0.252518648,NA,0.249661289,0.233935755,0.109105111,0.410553372,0.413971973
OTU,182577,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.225369604,0.099214865,0.291974235,1.74E-11,NA,0.098118663,0.774630396,0.708025765,0.843497312,0.003240547,0.071216672,NA,0.3816552,0.246165574,0.055337974,0.307107002,0.298206466
OTU,1102370,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.223747249,6.42E-32,0.306541214,0.01614526,NA,0.203820016,0.760107491,0.693458308,0.832599463,0.051391347,0.334430853,NA,0.240905695,0.245354685,0.124901838,0.738334591,0.668534376
OTU,174611,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Faecalibacterium; s__prausnitzii,0.222025211,0.048835223,0.289135115,5.27E-13,NA,0.138957353,0.777974789,0.710864885,0.84743424,0.016455899,0.204616113,NA,0.277497148,0.227266719,0.088518145,0.620217091,0.602867478
Genus,k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae.Other,NA,0.221455876,0.025678006,0.288067317,8.57E-12,NA,0.159598229,0.778544124,0.711932683,0.847474717,0.028842591,0.254731294,0.111936722,0.25349952,0.225817167,0.099067407,0.347469091,0.394091544
OTU,182643,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__,0.221342291,0.152431044,0.287978658,5.65E-13,NA,0.12730951,0.778657709,0.712021342,0.847568956,0.011250871,0.156354016,NA,0.309344235,0.233177447,0.07850533,0.244553298,0.244336167
OTU,4370941,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__,0.220928118,0.151928447,0.287726197,3.25E-16,NA,NA,0.779071882,0.712273803,0.848071553,0.002373251,0.057505697,NA,0.405872782,0.24604895,0.043112559,0.408622614,0.405504631
Family,k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Actinomycetaceae,NA,0.218548889,0.017259474,0.28529175,1.03E-09,NA,0.164213868,0.78145111,0.714708073,0.850487665,0.034763516,0.283202781,0.128783025,0.242816773,0.222181592,0.100773206,0.310607751,0.313094944
OTU,3924627,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__,0.216625013,0.149991904,0.281147932,2.81E-10,NA,0.187929832,0.783374987,0.718851338,0.850008096,0.055205839,0.352496742,NA,0.264873451,0.229474563,0.097037837,0.406026329,0.389993812
